image,ground_truth,prediction,CER_score
test001_0.jpg,BP 5140 BCD,B 9140 BCDE,0.2727
test001_1.jpg,B 2407 UZ0,B 2407 UZO,0.1
test001_2.jpg,B 2842 PKM,B 2842 PKM,0.0
test002_0.jpg,BG 1352 AE,BG 1352 AE,0.0
test003_0.jpg,B 2634 UZF,B 2634 UZF,0.0
test003_1.jpg,B 1995 JVK,B 1995 JVK,0.0
test004_0.jpg,B 9062 VEH,89062 VEH,0.2
test005_0.jpg,DD 3798 KM,DD 3798 KM,0.0
test006_0.jpg,T 1329 KC,Y 1329 KC,0.1111
test007_0.jpg,AD 8865 EE,AD 8865 EE,0.0
test008_0.jpg,DK 1157 AAB,DK 1157 AAB,0.0
test008_1.jpg,AA 1997 FE,AA 1997 FE,0.0
test009_0.jpg,H 8518 NA,H 8518 NA,0.0
test009_1.jpg,K 1649 GB,K 1649 GB,0.0
test010_0.jpg,B 9416 PCN,B 9416 PCN,0.0
test010_1.jpg,H 11147 UY,H 1147 UY,0.1
test011_0.jpg,H 1691 IL,H 1691 IL,0.0
test011_1.jpg,B 9374 RI,B 9374 RT,0.1111
test011_2.jpg,D 1204 AIG,D 1204 AIG,0.0
test012_0.jpg,E 1887 BA,E 1887 BA,0.0
test013_0.jpg,B 1439 UZP,B 1439 UZP,0.0
test013_1.jpg,B 1.128 W0S,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS 1128 W0S,4.1818
test014_0.jpg,B 1388 DFX,B 1388 DFX,0.0
test015_0.jpg,AD 1798 BT,AD 1798 BT,0.0
test016_0.jpg,E 1517 DQ,E 1517 DO,0.1111
test017_0.jpg,AD 8982 FS,AD 8982 FS,0.0
test018_0.jpg,L 7603 0A,L 7603 UA,0.1111
test019_0.jpg,AD 7 HS,AD 7 HS,0.0
test019_1.jpg,B 1959 WYK,B 1959 WYK,0.0
test020_0.jpg,AG 8634 EK,THE LICENSE PLATE NUMBER SHOWN IN THE IMAGE IS AC 8634EK,4.8
test020_1.jpg,AD 1328 PY,AD 1328 PY,0.0
test021_0.jpg,BA 1709 DW,BA 1709 DW,0.0
test021_1.jpg,W 1236 VZ,W1236VZ,0.2222
test022_0.jpg,2 1825 0Z,W1825OZ,0.4444
test022_1.jpg,L 1202 UE,L 1202 UE,0.0
test022_2.jpg,L 3823  ID,L 0823 ID,0.2
test023_0.jpg,B 1730 JL0,B 1730 JL0,0.0
test024_0.jpg,B 2964 TRU,B 2964 TRU,0.0
test025_0.jpg,S 5585 LP,S 5585 LP,0.0
test025_1.jpg,L 2850 RR,L 2858 RR,0.1111
test025_2.jpg,W 1185 Z0,W1185Z0,0.2222
test025_3.jpg,9840 VU,9840 VU,0.0
test026_0.jpg,N 9652 DF,9652 DE,0.3333
test026_1.jpg,L 3836 ZX,L 3836 ZX,0.0
test027_0.jpg,N 1905 IG,N 1905 IG,0.0
test027_1.jpg,B 1109 CLR,B 1169 CLR,0.1
test027_2.jpg,L 1840 AA,L 1840 AM,0.1111
test028_0.jpg,L 1438 E0,L 1438 E0,0.0
test028_1.jpg,L 1436 AAA,L 1436 AAI,0.1
test029_0.jpg,W 1516 WF,W1516,0.4444
test029_1.jpg,G 1986 N,G1986N,0.25
test029_2.jpg,L 1588 DD,L 1588 00,0.2222
test029_3.jpg,L 1426 AAA,L 1436 AAA,0.1
test030_0.jpg,S 8062 NF,S8062,0.4444
