image,ground_truth;;;
test001_0.jpg,;;BP 5140 BCD;
test001_1.jpg,;;B 2407 UZ0;
test001_2.jpg,;;B 2842 PKM;
test002_0.jpg,;;BG 1352 AE;
test003_0.jpg,;;B 2634 UZF;
test003_1.jpg,;;B 1995 JVK;
test004_0.jpg,;;B 9062 VEH;
test005_0.jpg,;;DD 3798 KM;
test006_0.jpg,;;T 1329 KC;
test007_0.jpg,;;AD 8865 EE;
test008_0.jpg,;;DK 1157 AAB;
test008_1.jpg,;;AA 1997 FE;
test009_0.jpg,;;H 8518 NA;
test009_1.jpg,;;K 1649 GB;
test010_0.jpg,;;B 9416 PCN;
test010_1.jpg,;;H 11147 UY;
test011_0.jpg,;;H 1691 IL;
test011_1.jpg,;;B 9374 RI;
test011_2.jpg,;;D 1204 AIG;
test012_0.jpg,;;E 1887 BA;
test013_0.jpg,;;B 1439 UZP;
test013_1.jpg,;;B 1.128 W0S;
test014_0.jpg,;;B 1388 DFX;
test015_0.jpg,;;AD 1798 BT;
test016_0.jpg,;;E 1517 DQ;
test017_0.jpg,;;AD 8982 FS;
test018_0.jpg,;;L 7603 0A;
test019_0.jpg,;;AD 7 HS;
test019_1.jpg,;;B 1959 WYK;
test020_0.jpg,;;AG 8634 EK;
test020_1.jpg,;;AD 1328 PY;
test021_0.jpg,;;BA 1709 DW;
test021_1.jpg,;;W 1236 VZ;
test022_0.jpg,;;2 1825 0Z;
test022_1.jpg,;;L 1202 UE;
test022_2.jpg,;;L 3823  ID;
test023_0.jpg,;;B 1730 JL0;
test024_0.jpg,;;B 2964 TRU;
test025_0.jpg,;;S 5585 LP;
test025_1.jpg,;;L 2850 RR;
test025_2.jpg,;;W 1185 Z0;
test025_3.jpg,;;9840 VU;
test026_0.jpg,;;N 9652 DF;
test026_1.jpg,;;L 3836 ZX;
test027_0.jpg,;;N 1905 IG;
test027_1.jpg,;;B 1109 CLR;
test027_2.jpg,;;L 1840 AA;
test028_0.jpg,;;L 1438 E0;
test028_1.jpg,;;L 1436 AAA;
test029_0.jpg,;;W 1516 WF; 
test029_1.jpg,;;G 1986 N;
test029_2.jpg,;;L 1588 DD;
test029_3.jpg,;;L 1426 AAA;
test030_0.jpg,;;S 8062 NF;
test030_1.jpg,;;G 1894 TE;
test031_0.jpg,;;L 1560 JQ;
test031_1.jpg,;;L 1568 Q0;
test031_2.jpg,;;L 1932 AAZ;
test032_0.jpg,;;B 2754 SKY;
test032_1.jpg,;;W 1192 K;
test033_0.jpg,;;L 4561 VK;
test033_1.jpg,;;L 2693 GA;
test033_2.jpg,;;W 0847 G;
test033_3.jpg,;;L 1762 ABJ;
test034_0.jpg,;;L 1811 SU;
test034_1.jpg,;;W 1167 V0;
test034_2.jpg,;;S 6131 OCF;
test034_3.jpg,;;L 2570 AAD;
test035_0.jpg,;;L 9643 NN;
test035_1.jpg,;;L 5247 CI;
test035_2.jpg,;;L 2498 AAM;
test035_3.jpg,;;W 1696 Y0;
test036_0.jpg,;;B 1231 JJA;
test036_1.jpg,;;B 1618 UAE;
test037_0.jpg,;;L 1775 V0;
test037_1.jpg,;;L 300 RX;
test037_2.jpg,;;L 1879 VG;
test038_0.jpg,;;D 1523 YCN;
test038_1.jpg,;;L 1877 ACU;
test039_0.jpg,;;L 1069 VK;
test040_0.jpg,;;S 1595 LL;
test041_0.jpg,;;B 1231 JJA;
test042_0.jpg,;;AD 1174 SF;
test043_0.jpg,;;W 1898 YW;
test043_1.jpg,;;W 1470 PG;
test044_0.jpg,;;L 1930 KF;
test044_1.jpg,;;N 1004 HE;
test045_0.jpg,;;S 1347 LJ;
test046_0.jpg,;;L 1470 ABK;
test046_1.jpg,;;L 1265 MX;
test047_0.jpg,;;N 15 24 SY;
test047_1.jpg,;;L 1678 ACE;
test048_0.jpg,;;L 9316 BC;
test048_1.jpg,;;W 1838 AY;
test049_0.jpg,;;N 1376 DE;
test049_1.jpg,;;N 79 AP;
test050_0.jpg,;;L 1265 OF;
test050_1.jpg,;;N 1095 G;
test051_0.jpg,;;N 1718 HC;
test052_0.jpg,;;N 6497 KS;
test052_1.jpg,;;N 5235 ABX;
test052_2.jpg,;;N 4980 KJ;
test053_0.jpg,;;N 1365 AA0;
test054_0.jpg,;;N 1077 AAK;
test054_1.jpg,;;N 1084 AA0;
test055_0.jpg,;;N 1610 KS;
test056_0.jpg,;;N924 CIA;
test056_1.jpg,;;N 1623 HB;
test056_2.jpg,;;L 1430 HF;
test057_0.jpg,;;N 1342 T;
test057_1.jpg,;; N 4145 AB;
test057_2.jpg,;;N 1396 AAH;
